Microsoft (R) COFF/PE Dumper Version 11.00.50727.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    55635475 time date stamp Mon May 25 12:57:25 2015
        0.00 version
           1 ordinal base
        1994 number of functions
        1986 number of names

    ordinal hint RVA      name

        398  185 0004DFF0 NtQueryDefaultUILanguage
        399  186 0004DF00 NtQueryDirectoryFile
        400  187 0004ECE0 NtQueryDirectoryObject
        401  188 0004ECF0 NtQueryDriverEntryOrder
        402  189 0004ED00 NtQueryEaFile
        403  18A 0004E110 NtQueryEvent
        404  18B 0004ED10 NtQueryFullAttributesFile
        405  18C 0004ED20 NtQueryInformationAtom
        406  18D 0004ED30 NtQueryInformationEnlistment
        407  18E 0004DCC0 NtQueryInformationFile
        408  18F 0004ED40 NtQueryInformationJobObject
        409  190 0004ED50 NtQueryInformationPort
        410  191 0004DD40 NtQueryInformationProcess
        411  192 0004ED60 NtQueryInformationResourceManager
        412  193 0004DE00 NtQueryInformationThread
        413  194 0004DDC0 NtQueryInformationToken
        414  195 0004ED70 NtQueryInformationTransaction
        415  196 0004ED80 NtQueryInformationTransactionManager
        416  197 0004ED90 NtQueryInformationWorkerFactory
        417  198 0004EDA0 NtQueryInstallUILanguage
        418  199 0004EDB0 NtQueryIntervalProfile
        419  19A 0004EDC0 NtQueryIoCompletion
        420  19B 0004DD10 NtQueryKey
        421  19C 0004EDD0 NtQueryLicenseValue
        422  19D 0004EDE0 NtQueryMultipleValueKey
        423  19E 0004EDF0 NtQueryMutant
        424  19F 0004DCB0 NtQueryObject
        425  1A0 0004EE00 NtQueryOpenSubKeys
        426  1A1 0004EE10 NtQueryOpenSubKeysEx
        427  1A2 0004DEC0 NtQueryPerformanceCounter
        428  1A3 0004EE20 NtQueryPortInformationProcess
        429  1A4 0004EE30 NtQueryQuotaInformationFile
        430  1A5 0004E0C0 NtQuerySection
        431  1A6 0004EE40 NtQuerySecurityAttributesToken
        432  1A7 0004EE50 NtQuerySecurityObject
        433  1A8 0004EE60 NtQuerySemaphore
        434  1A9 0004EE70 NtQuerySymbolicLinkObject
        435  1AA 0004EE80 NtQuerySystemEnvironmentValue
        436  1AB 0004EE90 NtQuerySystemEnvironmentValueEx
        437  1AC 0004DF10 NtQuerySystemInformation
        438  1AD 0004EEA0 NtQuerySystemInformationEx
        439  1AE 0004E150 NtQuerySystemTime
        440  1AF 0004DF30 NtQueryTimer
        441  1B0 0004EEB0 NtQueryTimerResolution
        442  1B1 0004DD20 NtQueryValueKey
        443  1B2 0004DDE0 NtQueryVirtualMemory
        444  1B3 0004E040 NtQueryVolumeInformationFile
        445  1B4 0004E000 NtQueueApcThread
        446  1B5 0004EEC0 NtQueueApcThreadEx
        447  1B6 0004EED0 NtRaiseException
        448  1B7 0004EEE0 NtRaiseHardError
        449  1B8 0004DC10 NtReadFile
        450  1B9 0004DE90 NtReadFileScatter
        451  1BA 0004EEF0 NtReadOnlyEnlistment
        452  1BB 0004E0F0 NtReadRequestData
        453  1BC 0004DFA0 NtReadVirtualMemory
        454  1BD 0004EF00 NtRecoverEnlistment
        455  1BE 0004EF10 NtRecoverResourceManager
        456  1BF 0004EF20 NtRecoverTransactionManager
        457  1C0 0004EF30 NtRegisterProtocolAddressInformation
        458  1C1 0004EF40 NtRegisterThreadTerminatePort
        459  1C2 0004EF50 NtReleaseKeyedEvent
        460  1C3 0004DDB0 NtReleaseMutant
        461  1C4 0004DC50 NtReleaseSemaphore
        462  1C5 0004EF60 NtReleaseWorkerFactoryWorker
        463  1C6 0004DC40 NtRemoveIoCompletion
        464  1C7 0004EF70 NtRemoveIoCompletionEx
